Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
184,46.086258,1.971626,224.304274,2.117591,3.667361,-1.971626,0
185,44.852176,2.017934,223.397283,1.271241,3.818735,-2.017934,0
186,60.428356,2.120980,171.889343,1.322818,5.016729,-2.120980,0
187,46.086258,1.971626,224.304274,2.112038,3.683072,-1.971626,0
188,29.916694,1.981399,224.304274,1.281487,4.960985,-1.981399,0
189,60.428356,2.120980,171.889343,1.411371,5.160343,-2.120980,0
190,60.513843,2.106932,175.158532,1.400211,5.033346,-2.106932,0
191,73.293503,1.740764,174.743176,1.552842,4.829624,-1.740764,0
192,138.944397,1.464309,168.139526,1.878332,4.599915,-1.464309,0
193,60.198240,2.120980,171.889343,1.789200,5.706955,-2.120980,0
194,61.377561,2.110855,175.732582,1.692575,5.297314,-2.110855,0
195,54.288006,1.723014,176.654662,1.047048,5.255613,-1.723014,0
196,138.944397,1.464309,168.139526,1.883886,4.633801,-1.464309,0
197,60.198240,2.120980,171.758617,1.789200,5.717111,-2.120980,0
198,54.288006,1.723014,176.654662,1.079936,5.312413,-1.723014,0
199,54.214095,1.724173,171.807956,1.039078,5.490848,-1.724173,0
200,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
201,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
202,93.956722,2.819431,172.564926,1.415354,0.403684,-2.819431,0
203,32.237850,2.890777,172.358429,2.003932,7.034074,-2.890777,0
204,45.959518,2.878034,225.089136,2.220425,3.605878,-2.878034,0
205,31.406394,2.878033,274.925139,2.013438,1.832943,-2.878033,0
206,31.406394,2.877838,276.284175,2.013438,1.739834,-2.877838,0
207,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
208,164.798659,1.047402,220.185199,2.520672,0.542896,-1.047402,0
209,164.798659,1.047433,220.185199,2.520672,0.547553,-1.047433,0
210,52.282150,2.260626,254.696826,1.879475,0.947688,-2.260626,0
211,82.141717,2.254594,224.304274,2.117591,0.681027,-2.254594,0
212,32.364590,2.129289,278.177099,2.001425,0.565832,-2.129289,0
213,31.406394,2.878033,274.925139,1.982133,1.866250,-2.878033,0
214,46.315258,1.065370,244.520966,1.799722,1.668399,-1.065370,0
215,167.443072,1.047402,220.185199,2.520672,0.636865,-1.047402,0
216,73.293503,1.740764,220.996666,2.123632,2.016426,-1.740764,0
