Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min distance,Fitness_Velocity at min distance
240,45.819695,2.994114,276.151273,2.037703,0.299571,-2.994114
241,60.899087,2.963364,253.778285,2.036223,0.281679,-2.963364
242,46.009801,2.991764,276.030624,2.038045,0.288411,-2.991764
243,60.520626,2.253714,253.858981,1.789438,0.182968,-2.253714
244,95.150845,2.785476,172.560288,1.405880,0.194669,-2.785476
245,60.899087,2.964498,253.778285,2.036223,0.205398,-2.964498
246,46.725486,2.939984,276.106682,1.981959,0.181219,-2.939984
247,61.219541,2.999396,253.411392,2.002985,0.237075,-2.999396
248,81.758095,2.831906,224.564300,2.003883,0.178062,-2.831906
249,82.514634,2.831200,224.564300,2.002960,0.110980,-2.831200
250,46.029547,2.961513,276.055577,2.036223,0.217148,-2.961513
251,46.714892,2.961204,276.088595,1.975332,0.212102,-2.961204
252,46.714892,2.963786,276.088595,1.975332,0.222112,-2.963786
253,81.756713,2.866044,224.564300,2.003076,0.185142,-2.866044
254,46.023564,2.912636,276.030615,2.035645,0.188708,-2.912636
255,61.214645,2.999396,253.411392,2.002985,0.266054,-2.999396
256,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
257,82.037077,2.830940,224.564300,2.003883,0.153137,-2.830940
258,46.023564,2.913770,276.030615,2.035645,0.221652,-2.913770
259,46.009516,2.961307,276.100104,2.036228,0.259107,-2.961307
260,45.799665,2.961312,276.026776,2.035642,0.264576,-2.961312
261,46.725486,2.961310,276.126399,1.986339,0.262465,-2.961310
262,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
263,46.725486,2.961204,276.126399,1.981665,0.232550,-2.961204
264,46.009537,2.961234,276.097262,2.036486,0.241623,-2.961234
265,46.009516,2.887438,276.106682,1.982133,0.213219,-2.887438
266,82.035696,2.865338,224.564300,2.003076,0.198294,-2.865338
267,60.336172,2.996156,253.661798,1.983505,0.287772,-2.996156
268,45.811682,2.996124,276.425668,2.011810,0.283738,-2.996124
269,45.819281,2.992698,276.406400,2.011615,0.272159,-2.992698
270,45.808208,2.963051,276.052899,2.033333,0.266159,-2.963051
271,95.150845,2.820040,172.560288,1.411163,0.155573,-2.820040
272,95.150845,2.820045,172.560288,1.411163,0.180048,-2.820045
273,95.156248,2.823150,170.602993,1.406228,0.183919,-2.823150
274,82.039429,2.830547,224.564300,2.003106,0.194691,-2.830547
275,95.150845,2.829689,174.007223,1.426249,0.186578,-2.829689
276,60.520626,2.287017,253.810925,1.791909,0.161789,-2.287017
277,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
278,81.756713,2.858957,224.564300,2.003076,0.246399,-2.858957
279,45.808208,2.961208,276.095315,2.033333,0.256021,-2.961208
280,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
