Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance
159,43.529830,1.647400,295.109868,2.414342,-0.982587,-1.647400
160,93.031367,1.956894,230.266687,2.519862,-0.980642,-1.956894
161,39.833228,2.782844,326.423230,2.541820,-0.930034,-2.782844
162,93.031367,2.413715,230.561961,2.582142,-0.935552,-2.413715
163,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
164,39.843339,2.780423,326.434382,2.645590,-0.922699,-2.780423
165,40.375945,2.781684,328.786053,2.516683,-0.712897,-2.781684
166,39.832965,2.780798,326.434382,2.645590,-0.868545,-2.780798
167,93.031367,2.420942,230.561988,2.573075,-0.928420,-2.420942
168,115.372173,1.889505,216.837486,2.355971,-0.969725,-1.889505
169,93.031367,2.421090,230.373670,2.541341,-0.914099,-2.421090
170,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
171,39.843339,2.780423,326.434382,2.652239,-0.815859,-2.780423
172,39.843339,2.680211,327.310075,2.656942,-0.845094,-2.680211
173,39.843183,2.780145,326.448889,2.650610,-0.838928,-2.780145
174,117.195567,1.889505,216.837486,2.662692,-0.963612,-1.889505
175,93.031367,2.421090,230.561961,2.573075,-0.851253,-2.421090
176,93.031367,2.420204,230.547907,2.579868,-0.862374,-2.420204
177,93.031367,2.387097,230.561961,2.582142,-0.908207,-2.387097
178,39.843339,2.780161,326.434382,2.652239,-0.688589,-2.780161
179,39.843339,2.780423,326.294323,2.648190,-0.675723,-2.780423
180,39.843339,2.767406,326.434382,2.652239,-0.719091,-2.767406
181,43.509780,2.745751,326.256073,2.544517,-0.795622,-2.745751
182,43.529830,1.634848,295.109868,2.519066,-0.926982,-1.634848
183,39.853278,1.613898,295.233720,2.516527,-0.958892,-1.613898
184,93.031367,2.413715,230.371899,2.582142,-0.827380,-2.413715
185,93.031367,1.969446,230.266687,2.415137,-0.894062,-1.969446
186,93.031367,2.387097,230.561961,2.582188,-0.892526,-2.387097
187,115.372173,1.889505,216.837486,2.398866,-0.905048,-1.889505
188,39.843339,2.780423,327.310075,2.652239,-0.638278,-2.780423
189,39.843339,2.732352,326.434382,2.652239,-0.774284,-2.732352
190,39.833228,2.724809,326.448889,2.541978,-0.778248,-2.724809
191,43.529830,1.634848,295.181823,2.516466,-0.908782,-1.634848
192,21.065197,2.273127,327.193677,2.496903,-0.825517,-2.273127
193,115.372173,1.895399,216.822835,2.398866,-0.885502,-1.895399
194,93.031367,1.994908,230.561542,2.427446,-0.884130,-1.994908
195,43.538611,2.780161,327.495896,2.652299,-0.614894,-2.780161
196,39.833385,2.725087,326.434382,2.543607,-0.730217,-2.725087
197,39.833228,2.723974,325.901366,2.541820,-0.734539,-2.723974
198,93.031367,2.519496,244.956746,2.849883,-0.770276,-2.519496
199,93.031367,2.420204,230.267826,2.579868,-0.771120,-2.420204
200,39.833228,2.724809,327.324583,2.541978,-0.607401,-2.724809
201,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
202,93.031367,1.969446,230.546768,2.415137,-0.839536,-1.969446
