Index,PedestrianSpeed,FinalHostSpeed,PedestrianEgoDistanceStartWalk,Min distance,Velocity at min distance
358,1.737370,6.256439,30.059290,0.463858,-4.651552
359,2.519896,75.921820,11.284478,0.358203,-2.400401
360,1.881128,5.994803,16.810607,0.207431,-6.694620
361,1.104487,1.604916,45.176538,0.196003,-5.960930
362,1.901674,1.719475,27.786506,0.478043,-6.613500
363,1.746721,6.256439,30.059290,0.396110,-6.563610
364,1.901674,2.503488,16.086469,0.199183,-5.960930
365,0.666914,2.130363,27.786506,0.201253,-5.960930
366,1.904181,6.160747,29.770974,0.205743,-5.960930
367,1.901674,1.241074,16.987980,0.207917,-5.960930
368,1.900416,1.719475,30.886170,0.216140,-5.960930
369,1.901985,6.256439,27.924639,0.254850,-5.960930
370,1.104487,18.179952,44.319843,0.260017,-5.960930
371,1.901674,1.241074,27.786506,0.275048,-5.960930
372,1.901674,1.241074,27.810748,0.303353,-5.960930
373,1.901674,1.241074,16.086469,0.315293,-5.960930
374,1.391306,29.428984,16.831549,0.315293,-5.960930
375,1.881209,6.256439,16.907765,0.315293,-5.960930
376,1.879419,6.256439,16.907765,0.315293,-5.960930
377,1.129700,17.884244,16.641732,0.315293,-5.960930
378,1.901674,1.126340,16.059386,0.315293,-5.960930
379,1.881128,6.256439,16.907765,0.315293,-5.960930
380,2.627383,29.455056,30.810596,0.315673,-5.960930
381,2.519896,75.371016,11.064191,0.320059,-3.728316
382,1.167786,71.288546,55.425620,0.324218,-5.960930
383,1.651284,25.454882,30.784387,2.741313,-5.960930
384,2.627383,76.298620,11.319292,0.352125,-5.954922
385,1.904580,1.241074,30.824091,0.345260,-1.800162
386,1.989885,2.503488,16.086469,0.340232,-1.655065
387,2.326743,6.256439,17.288540,0.348393,-1.785941
388,1.881209,11.540292,17.454308,3.170237,-5.960930
389,2.561745,19.705852,44.260081,2.827185,-4.914322
390,1.881128,5.994803,16.810607,0.207431,-6.694620
391,1.104487,1.604916,45.176538,0.196003,-5.960930
392,1.901674,1.719475,27.786506,0.478043,-6.613500
393,1.746721,6.256439,30.059290,0.396110,-6.563610
394,1.901674,2.503488,16.086469,0.199183,-5.960930
395,0.666914,2.130363,27.786506,0.201253,-5.960930
396,1.904181,6.160747,29.770974,0.205743,-5.960930
397,1.901674,1.241074,16.987980,0.207917,-5.960930
398,2.625861,30.554485,30.810596,0.215130,-5.960930
399,1.900416,1.719475,30.886170,0.216140,-5.960930
400,1.901985,6.256439,27.924639,0.254850,-5.960930
401,1.104487,18.179952,44.319843,0.260017,-5.960930
402,1.901674,1.241074,27.786506,0.275048,-5.960930
403,1.901674,1.241074,27.810748,0.303353,-5.960930
404,1.901674,1.241074,16.086469,0.315293,-5.960930
405,1.391306,29.428984,16.831549,0.315293,-5.960930
406,1.881209,6.256439,16.907765,0.315293,-5.960930
407,1.879419,6.256439,16.907765,0.315293,-5.960930
408,1.129700,17.884244,16.641732,0.315293,-5.960930
409,1.901674,1.126340,16.059386,0.315293,-5.960930
410,1.881128,6.256439,16.907765,0.315293,-5.960930
411,2.627383,29.455056,30.810596,0.315673,-5.960930
412,2.519896,75.371016,11.064191,0.320059,-3.728316
413,1.167786,71.288546,55.425620,0.324218,-5.960930
414,1.717198,9.696734,30.059290,0.334217,-5.960930
415,1.651284,25.454882,30.784387,2.741313,-5.960930
416,2.627383,76.298620,11.319292,0.352125,-5.954922
417,1.904580,1.241074,30.824091,0.345260,-1.800162
418,1.989885,2.503488,16.086469,0.340232,-1.655065
419,2.326743,6.256439,17.288540,0.348393,-1.785941
420,1.881128,5.994803,16.810607,0.207431,-6.694620
421,1.104487,1.604916,45.176538,0.196003,-5.960930
422,1.901674,1.719475,27.786506,0.478043,-6.613500
423,1.746721,6.256439,30.059290,0.396110,-6.563610
424,1.901674,2.503488,16.086469,0.199183,-5.960930
425,0.666914,2.130363,27.786506,0.201253,-5.960930
426,1.904181,6.160747,29.770974,0.205743,-5.960930
427,1.901674,1.241074,16.987980,0.207917,-5.960930
428,2.625861,30.554485,30.810596,0.215130,-5.960930
429,1.900416,1.719475,30.886170,0.216140,-5.960930
430,1.901985,6.256439,27.924639,0.254850,-5.960930
431,1.104487,18.179952,44.319843,0.260017,-5.960930
432,1.901674,1.241074,27.786506,0.275048,-5.960930
433,1.901674,1.241074,27.810748,0.303353,-5.960930
434,1.901674,1.241074,16.086469,0.315293,-5.960930
435,1.391306,29.428984,16.831549,0.315293,-5.960930
436,1.881209,6.256439,16.907765,0.315293,-5.960930
437,1.879419,6.256439,16.907765,0.315293,-5.960930
438,1.129700,17.884244,16.641732,0.315293,-5.960930
439,1.901674,1.126340,16.059386,0.315293,-5.960930
440,1.881128,6.256439,16.907765,0.315293,-5.960930
441,2.627383,29.455056,30.810596,0.315673,-5.960930
442,2.519896,75.371016,11.064191,0.320059,-3.728316
443,1.167786,71.288546,55.425620,0.324218,-5.960930
444,1.717198,9.696734,30.059290,0.334217,-5.960930
445,1.651284,25.454882,30.784387,2.741313,-5.960930
446,2.627383,76.298620,11.319292,0.352125,-5.954922
447,1.904580,1.241074,30.824091,0.345260,-1.800162
448,1.989885,2.503488,16.086469,0.340232,-1.655065
449,2.326743,6.256439,17.288540,0.348393,-1.785941
450,1.881128,5.994803,16.810607,0.207431,-6.694620
451,1.104487,1.604916,45.176538,0.196003,-5.960930
452,1.901674,1.719475,27.786506,0.478043,-6.613500
453,1.746721,6.256439,30.059290,0.396110,-6.563610
454,1.901674,2.503488,16.086469,0.199183,-5.960930
455,0.666914,2.130363,27.786506,0.201253,-5.960930
456,1.904181,6.160747,29.770974,0.205743,-5.960930
457,1.901674,1.241074,16.987980,0.207917,-5.960930
458,2.625861,30.554485,30.810596,0.215130,-5.960930
459,1.900416,1.719475,30.886170,0.216140,-5.960930
460,1.901985,6.256439,27.924639,0.254850,-5.960930
461,1.104487,18.179952,44.319843,0.260017,-5.960930
462,1.901674,1.241074,27.786506,0.275048,-5.960930
463,1.901674,1.241074,27.810748,0.303353,-5.960930
464,1.901674,1.241074,16.086469,0.315293,-5.960930
465,1.391306,29.428984,16.831549,0.315293,-5.960930
466,1.881209,6.256439,16.907765,0.315293,-5.960930
467,1.879419,6.256439,16.907765,0.315293,-5.960930
468,1.129700,17.884244,16.641732,0.315293,-5.960930
469,1.901674,1.126340,16.059386,0.315293,-5.960930
470,1.881128,6.256439,16.907765,0.315293,-5.960930
471,2.627383,29.455056,30.810596,0.315673,-5.960930
